SENTENCE_ID	RELATION_ID	SENTENCE	ARGUMENT_1	ARGUMENT_1_CATEGORY	RELATION	PREDICTED_RELATION	ARGUMENT_2	ARGUMENT_2_CATEGORY
1	14	o agfintech – a nova era do seguro e crédito rural vai reunir , na casa_do_saber , em são_paulo , especialistas de instituições financeiras , além de representante do banco_central , para falar sobre temas como a resolução 4.42 7 do bacen , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .	agfintech	ORG	none	do	banco_central	ORG
29	15	o agfintech – a nova era do seguro e crédito rural vai reunir , na casa_do_saber , em são_paulo , especialistas de instituições financeiras , além de representante do banco_central , para falar sobre temas como a resolução 4.42 7 do bacen , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .	banco_central	ORG	none	do	casa_do_saber	PLC
29	16	o agfintech – a nova era do seguro e crédito rural vai reunir , na casa_do_saber , em são_paulo , especialistas de instituições financeiras , além de representante do banco_central , para falar sobre temas como a resolução 4.42 7 do bacen , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .	banco_central	ORG	none	representante do	são_paulo	PLC
37	17	após três meses , a regulação não gerou um impacto imediato nos negócios , mas deve garantir maior autonomia às fintechs , segundo sergio_furio , fundador de uma das maiores fintechs de crédito do país , a creditas , que oferece crédito com garantia de imóvel e automóvel .	creditas	ORG	fundador de uma das maiores fintechs de crédito do país	fundador de do	sergio_furio	PER
37	18	após três meses , a regulação não gerou um impacto imediato nos negócios , mas deve garantir maior autonomia às fintechs , segundo sergio_furio , fundador de uma das maiores fintechs de crédito do país , a creditas , que oferece crédito com garantia de imóvel e automóvel .	creditas	ORG	none	de do	país	PLC
12	19	nossa meta é alcançar 10_mil empréstimos por mês ” , contou mellissa_penteado , ceo do bancoin .	ceo	ORG	none		mellissa_penteado	PER
12	20	nossa meta é alcançar 10_mil empréstimos por mês ” , contou mellissa_penteado , ceo do bancoin .	ceo	ORG	do	do	bancoin	ORG
14	21	nossa meta é alcançar 10_mil empréstimos por mês ” , contou mellissa_penteado , ceo do bancoin .	bancoin	ORG	ceo do	ceo do	mellissa_penteado	PER
4	22	uma pesquisa realizada pelo sebrae em parceria com a associação_brasileira_de_fintechs_ ( abfintechs ) revelou que as micro e pequenas empresas , definidas desta forma por serem negócios que faturam até r $ _4 , _8_milhões por ano , formam a maior parte da carteira de clientes de 40 % das fintechs do país . o trabalho revelou também que menos_de_15 % das startups financeiras trabalham exclusivamente com o consumidor ( b2c ) .	sebrae	ORG	none	em parceria com	associação_brasileira_de_fintechs_ ( abfintechs	ORG
9	23	a pesquisa fintech deep dive 2018 , feita pela associação_brasileira_de_fintechs_ ( a_b_fintechs ) e pela consultoria pwc_brasil , divulgada esta semana , registrou otimismo das startups financeiras .	associação_brasileira_de_fintechs_ ( a_b_fintechs	ORG	none	pela consultoria	pwc_brasil	ORG
1	24	a agrimart catalisa os processos de compra e venda de produtos agrícolas ( co m foco em hortifrúti ) por meio de uma plataforma web de e-procurement para os compradores e de um chatbot negociador ( whatsapp ) para os produtores . a agrimart usa tecnologia de ponta para viabilizar uma comunicação acessível e simples com o produtor rural , tendo em vista a negociação/compra dos seus produtos : um chatbot via whatsapp .	agrimart	ORG	none	de	agrimart	ORG
16	25	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	ibm	ORG	pesquisador da	pesquisador da	percival_lucena	PER
16	26	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	ibm	ORG	none		fernando_martins	PER
16	27	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	ibm	ORG	none	conselheiro da	jacto	ORG
16	28	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	ibm	ORG	none	conselheiro da	agtech	ORG
16	29	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	ibm	ORG	none	conselheiro da	rodrigo_iafelice_dos_santos	PER
16	30	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	ibm	ORG	none	presidente da	ennexas_agribusiness	ORG
22	31	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	jacto	ORG	none	conselheiro da	percival_lucena	PER
22	32	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	jacto	ORG	conselheiro da	conselheiro da	fernando_martins	PER
22	33	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	jacto	ORG	none		agtech	ORG
22	34	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	jacto	ORG	none		rodrigo_iafelice_dos_santos	PER
22	35	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	jacto	ORG	none	conselheiro presidente da	ennexas_agribusiness	ORG
26	36	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	agtech	ORG	none	conselheiro da	percival_lucena	PER
26	37	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	agtech	ORG	none	conselheiro da	fernando_martins	PER
26	38	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	agtech	ORG	none		rodrigo_iafelice_dos_santos	PER
26	39	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	agtech	ORG	none	presidente da	ennexas_agribusiness	ORG
33	40	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	ennexas_agribusiness	ORG	none	presidente da	percival_lucena	PER
33	41	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	ennexas_agribusiness	ORG	none	da presidente da	fernando_martins	PER
33	42	realizado no lounge plant , o debate contou com a participação de percival_lucena , pesquisador da ibm , fernando_martins , conselheiro da jacto e de startups agtech , e rodrigo_iafelice_dos_santos , presidente da ennexas_agribusiness .	ennexas_agribusiness	ORG	presidente da	presidente da	rodrigo_iafelice_dos_santos	PER
1	43	o lounge_plant contou com patrocínio de sap , clube_agro_e_azul_linhas_aéreas .	lounge_plant	ORG	contou com patrocínio de	contou com patrocínio de	sap	ORG
1	44	o lounge_plant contou com patrocínio de sap , clube_agro_e_azul_linhas_aéreas .	lounge_plant	ORG	contou com patrocínio de	contou com patrocínio de	clube_agro_e_azul_linhas_aéreas	ORG
6	45	o lounge_plant contou com patrocínio de sap , clube_agro_e_azul_linhas_aéreas .	sap	ORG	none	patrocínio	clube_agro_e_azul_linhas_aéreas	ORG
16	46	as fintechs interessadas em apresentar suas soluções ao público que estará presente na 12ª edição do concred , o maior congresso cooperativista da américa_latina , ganharam mais alguns dias para garantir a participação .	concred	ORG	o maior congresso cooperativista da	o maior congresso cooperativista da	américa_latina	PLC
19	47	no próximo domingo , dia 23_de_setembro termina o prazo de inscrições para o espaço fintechcooplab , iniciativa coordenada pelo fintechlab e pelo torq em parceria com a confebras , realizadora do evento .	fintechlab	ORG	none		torq	ORG
19	48	no próximo domingo , dia 23_de_setembro termina o prazo de inscrições para o espaço fintechcooplab , iniciativa coordenada pelo fintechlab e pelo torq em parceria com a confebras , realizadora do evento .	fintechlab	ORG	em parceria com	em parceria com	confebras	ORG
22	49	no próximo domingo , dia 23_de_setembro termina o prazo de inscrições para o espaço fintechcooplab , iniciativa coordenada pelo fintechlab e pelo torq em parceria com a confebras , realizadora do evento .	torq	ORG	em parceria com	em parceria com	confebras	ORG
1	50	o concred será realizado entre os dias 21 e 23_de_novembro , em florianópolis ( sc ) .	concred	ORG	em		florianópolis	PLC
20	51	segundo mazieiro , todo o processo é feito por meio de tokens ( e-mail , sms e chats ) e a planetun trabalha em integrações e chatbots que vão permitir ao cliente solicitar o token por diversos canais de comunicação com as seguradoras .	planetun	ORG	none		mazieiro	PER
2	52	a insurtech ciclic recebeu um aporte de capital no valor de r $ _20,2_5_milhões_de_reais da bb_seguridade , braço de seguros e previdência do banco_do_brasil .	ciclic	ORG	recebeu um aporte de capital no valor de	recebeu um	bb_seguridade	ORG
2	53	a insurtech ciclic recebeu um aporte de capital no valor de r $ _20,2_5_milhões_de_reais da bb_seguridade , braço de seguros e previdência do banco_do_brasil .	ciclic	ORG	none	de do	banco_do_brasil	ORG
13	54	a insurtech ciclic recebeu um aporte de capital no valor de r $ _20,2_5_milhões_de_reais da bb_seguridade , braço de seguros e previdência do banco_do_brasil .	bb_seguridade	ORG	braço de seguros e previdência do	braço de previdência do	banco_do_brasil	ORG
5	55	com o investimento , a bb_seguridade assumirá participação na insurtech , que se dará por meio da bb_corretora_de_seguros .	bb_seguridade	ORG	assumirá participação na insurtech ,	dará por	bb_corretora_de_seguros	ORG
27	56	com a proposta de fazer uso da tecnologia para inovar na gestão de recebíveis para agroindústrias , distribuidores de insumos agrícolas , cooperativas e tradings , a gira_ ( gestã_o_integrada_de_recebíveis_do_agronégócio ) acaba de receber um aporte do fundo venture_brasil_central , gerido pela cedro_capital .	gira_ ( gestã_o_integrada_de_recebíveis_do_agronégócio	ORG	acaba de receber um aporte do	receber um aporte do	venture_brasil_central	ORG
27	57	com a proposta de fazer uso da tecnologia para inovar na gestão de recebíveis para agroindústrias , distribuidores de insumos agrícolas , cooperativas e tradings , a gira_ ( gestã_o_integrada_de_recebíveis_do_agronégócio ) acaba de receber um aporte do fundo venture_brasil_central , gerido pela cedro_capital .	gira_ ( gestã_o_integrada_de_recebíveis_do_agronégócio	ORG	none	gerido pela	cedro_capital	ORG
36	58	com a proposta de fazer uso da tecnologia para inovar na gestão de recebíveis para agroindústrias , distribuidores de insumos agrícolas , cooperativas e tradings , a gira_ ( gestã_o_integrada_de_recebíveis_do_agronégócio ) acaba de receber um aporte do fundo venture_brasil_central , gerido pela cedro_capital .	venture_brasil_central	ORG	gerido pela	gerido pela	cedro_capital	ORG
1	59	o fintechlab , o torq e a confederação_brasileira_das_cooperativas_de_crédito_ ( confebras ) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do concred , o maior congresso cooperativista da américa_latina .	fintechlab	ORG	none		torq	ORG
1	60	o fintechlab , o torq e a confederação_brasileira_das_cooperativas_de_crédito_ ( confebras ) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do concred , o maior congresso cooperativista da américa_latina .	fintechlab	ORG	none		confederação_brasileira_das_cooperativas_de_crédito_ ( confebras )	ORG
1	61	o fintechlab , o torq e a confederação_brasileira_das_cooperativas_de_crédito_ ( confebras ) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do concred , o maior congresso cooperativista da américa_latina .	fintechlab	ORG	none	maior congresso cooperativista da	américa_latina	PLC
4	62	o fintechlab , o torq e a confederação_brasileira_das_cooperativas_de_crédito_ ( confebras ) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do concred , o maior congresso cooperativista da américa_latina .	torq	ORG	none		confederação_brasileira_das_cooperativas_de_crédito_ ( confebras )	ORG
4	63	o fintechlab , o torq e a confederação_brasileira_das_cooperativas_de_crédito_ ( confebras ) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do concred , o maior congresso cooperativista da américa_latina .	torq	ORG	none	maior congresso cooperativista da	américa_latina	PLC
7	64	o fintechlab , o torq e a confederação_brasileira_das_cooperativas_de_crédito_ ( confebras ) , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do concred , o maior congresso cooperativista da américa_latina .	confederação_brasileira_das_cooperativas_de_crédito_ ( confebras )	ORG	none	maior congresso cooperativista da	américa_latina	PLC
17	65	os clientes podem ganhar até 50 % de desconto em lojas parceiras , como , por exemplo , netshoes , zattini , beer.com.br , vinho_fácil , entre outras , além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5 % do valor do produto para quem comprar em 12x .	netshoes	ORG	none		zattini	ORG
17	66	os clientes podem ganhar até 50 % de desconto em lojas parceiras , como , por exemplo , netshoes , zattini , beer.com.br , vinho_fácil , entre outras , além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5 % do valor do produto para quem comprar em 12x .	netshoes	ORG	none		beer.com.br	ORG
17	67	os clientes podem ganhar até 50 % de desconto em lojas parceiras , como , por exemplo , netshoes , zattini , beer.com.br , vinho_fácil , entre outras , além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5 % do valor do produto para quem comprar em 12x .	netshoes	ORG	none		vinho_fácil	ORG
19	68	os clientes podem ganhar até 50 % de desconto em lojas parceiras , como , por exemplo , netshoes , zattini , beer.com.br , vinho_fácil , entre outras , além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5 % do valor do produto para quem comprar em 12x .	zattini	ORG	none		beer.com.br	ORG
19	69	os clientes podem ganhar até 50 % de desconto em lojas parceiras , como , por exemplo , netshoes , zattini , beer.com.br , vinho_fácil , entre outras , além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5 % do valor do produto para quem comprar em 12x .	zattini	ORG	none		vinho_fácil	ORG
21	70	os clientes podem ganhar até 50 % de desconto em lojas parceiras , como , por exemplo , netshoes , zattini , beer.com.br , vinho_fácil , entre outras , além das parcerias , a fintech também aumentará o desconto oferecido para quem antecipar suas compras parceladas , podendo chegar até 5 % do valor do produto para quem comprar em 12x .	beer.com.br	ORG	none		vinho_fácil	ORG
1	71	o “ sebrae like a farmer ” faz parte da programação do agrobit_brasil , evento criado para integrar produtores e empresários do agronegócio com soluções tecnológicas e inovadoras disponíveis e capazes de contribuir com o desafio de aumentar a produtividade e rentabilidade do agronegócio .	“ sebrae	ORG	none	like	farmer ”	ORG
1	72	o “ sebrae like a farmer ” faz parte da programação do agrobit_brasil , evento criado para integrar produtores e empresários do agronegócio com soluções tecnológicas e inovadoras disponíveis e capazes de contribuir com o desafio de aumentar a produtividade e rentabilidade do agronegócio .	“ sebrae like a farmer ”	ORG	faz parte da programação do	faz parte da programação do	agrobit_brasil	ORG
4	73	o “ sebrae like a farmer ” faz parte da programação do agrobit_brasil , evento criado para integrar produtores e empresários do agronegócio com soluções tecnológicas e inovadoras disponíveis e capazes de contribuir com o desafio de aumentar a produtividade e rentabilidade do agronegócio .	farmer ”	ORG	none	faz parte da programação do	agrobit_brasil	ORG
17	74	e os beneficiados desse casamento seremos todos nós , principalmente o consumidor , escreve francisco_jardim , da sp_ventures .	sp_ventures	ORG	da	da	francisco_jardim	PER
27	75	estamos nas garras de uma revolução de fintechs e 2019 será um ano crucial , com desenvolvimentos sísmicos que variam do tumulto do brexit ao início da gdpr , da implementação do open banking , também conhecida como psd2 , e a evolução contínua dos serviços baseados em blockchain .	gdpr	ORG	ao início da		brexit	PLC
16	76	trussle em busca de reformular o setor de serviços de corretagem e de hipoteca está a trussle .	trussle	ORG	none	de de hipoteca	trussle	PLC
9	77	monzo recém integrante do clube de unicórnios , a monzo é a próxima da lista das melhores startups de tecnologia financeira para se observar em 2019 .	monzo	ORG	none	recém integrante do	monzo	PER
16	78	agora , com mais_de um milhão de clientes e uma avaliação superior a £_1_bilhão , a monzo em 2019 , a finestra acredita que a monzo começa a dar passos no sentido de se tornar lucrativa pela primeira vez .	monzo	ORG	acredita que a	acredita que a	finestra	ORG
16	79	agora , com mais_de um milhão de clientes e uma avaliação superior a £_1_bilhão , a monzo em 2019 , a finestra acredita que a monzo começa a dar passos no sentido de se tornar lucrativa pela primeira vez .	monzo	ORG	none	acredita	monzo	PER
21	80	agora , com mais_de um milhão de clientes e uma avaliação superior a £_1_bilhão , a monzo em 2019 , a finestra acredita que a monzo começa a dar passos no sentido de se tornar lucrativa pela primeira vez .	finestra	ORG	acredita que a	acredita que a	monzo	PER
8	81	2019 deve ser um grande ano para a truelayer , com mais startups em busca de ter as vantagens do open banking e de potenciais novos mercados europeus para entrar em muitos mais negócios que devem liderar o caminho da truelayer .	truelayer	ORG	none		truelayer	ORG
4	82	a iniciativa , da money_cloud junto ao instituto_banco_da_periferia , começa com um piloto maricá ( rj ) , onde milhares de clientes já contam com serviços completos de conta digital , além de pagamentos nos pontos comerciais credenciados .	money_cloud	ORG	junto ao		instituto_banco_da_periferia	ORG
4	83	a iniciativa , da money_cloud junto ao instituto_banco_da_periferia , começa com um piloto maricá ( rj ) , onde milhares de clientes já contam com serviços completos de conta digital , além de pagamentos nos pontos comerciais credenciados .	money_cloud	ORG	começa com um piloto	com	maricá	ORG
7	84	a iniciativa , da money_cloud junto ao instituto_banco_da_periferia , começa com um piloto maricá ( rj ) , onde milhares de clientes já contam com serviços completos de conta digital , além de pagamentos nos pontos comerciais credenciados .	instituto_banco_da_periferia	ORG	none	começa com	maricá	ORG
23	85	essa foi uma das principais constatações da pesquisa “ financiamento dos pequenos negócios 2018 ” , realizada entre os meses de junho e agosto pelo sebrae e apresentada na abertura do fórum de cidadania financeira , em brasília ( df ) .	sebrae	ORG	none		brasília	PLC
11	86	de acordo com nota enviada à imprensa , o presidente do sebrae , guilherme_afif_domingos disse que as altas taxas de juros , a burocracia e o excesso de exigências para tomar um empréstimo são como espantalhos que afugentam as pequenas empresas e impedem que elas busquem os recursos necessários para alavancar o negócio .	sebrae	ORG	none	do	guilherme_afif_domingos	PER
16	87	flávio_pripas não é mais o responsável pelo cubo , a iniciativa de fomento a startups do itaú_unibanco .	itaú_unibanco	ORG	none	fomento a startups do	flávio_pripas	PER
26	88	o executivo , que esteve à frente da operação desde seu nascimento , em 2015 , passará a responder pela área de corporate venture do fundo redpoint eventures , fundo de investimento que fundou o cubo junto com itaú	redpoint	ORG	fundo de investimento que fundou	fundou	cubo	ORG
26	89	o executivo , que esteve à frente da operação desde seu nascimento , em 2015 , passará a responder pela área de corporate venture do fundo redpoint eventures , fundo de investimento que fundou o cubo junto com itaú	redpoint	ORG	none	fundou o cubo	itaú	ORG
35	90	o executivo , que esteve à frente da operação desde seu nascimento , em 2015 , passará a responder pela área de corporate venture do fundo redpoint eventures , fundo de investimento que fundou o cubo junto com itaú	cubo	ORG	junto com		itaú	ORG
1	91	a trusthub , fintech do grupo srm e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o grupo_ipiranga , para antecipação de recebíveis de seus clientes corporativos .	trusthub	ORG	fintech do	fintech do	srm	ORG
1	92	a trusthub , fintech do grupo srm e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o grupo_ipiranga , para antecipação de recebíveis de seus clientes corporativos .	trusthub	ORG	fechou acordo com	fechou acordo com	grupo_ipiranga	ORG
6	93	a trusthub , fintech do grupo srm e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o grupo_ipiranga , para antecipação de recebíveis de seus clientes corporativos .	srm	ORG	none	fintech do fechou acordo com	grupo_ipiranga	ORG
1	94	a trusthub está perto de fechar a contratação do parcele mais com outras três grandes empresas que possuem marketplace para negócios b2b ( buine s to business ) , uma delas líder do setor farmacêutico de são_paulo e uma multinacional de produtos de limpeza .	trusthub	ORG	none	marketplace	b2b	ORG
1	95	a trusthub está perto de fechar a contratação do parcele mais com outras três grandes empresas que possuem marketplace para negócios b2b ( buine s to business ) , uma delas líder do setor farmacêutico de são_paulo e uma multinacional de produtos de limpeza .	trusthub	ORG	none	líder do	são_paulo	PLC
21	96	a trusthub está perto de fechar a contratação do parcele mais com outras três grandes empresas que possuem marketplace para negócios b2b ( buine s to business ) , uma delas líder do setor farmacêutico de são_paulo e uma multinacional de produtos de limpeza .	b2b	ORG	none	marketplace delas líder do	são_paulo	PLC
1	97	o banco_inter não é aceito por algumas empresas como o google_adsense , skrill e neteller .	banco_inter	ORG	não é aceito por algumas empresas como		google_adsense	ORG
1	98	o banco_inter não é aceito por algumas empresas como o google_adsense , skrill e neteller .	banco_inter	ORG	não é aceito por algumas empresas como		skrill	ORG
1	99	o banco_inter não é aceito por algumas empresas como o google_adsense , skrill e neteller .	banco_inter	ORG	não é aceito por algumas empresas como		neteller	ORG
10	100	o banco_inter não é aceito por algumas empresas como o google_adsense , skrill e neteller .	google_adsense	ORG	none		skrill	ORG
10	101	o banco_inter não é aceito por algumas empresas como o google_adsense , skrill e neteller .	google_adsense	ORG	none		neteller	ORG
12	102	o banco_inter não é aceito por algumas empresas como o google_adsense , skrill e neteller .	skrill	ORG	none		neteller	ORG
2	103	a fintech neon_pagamentos lançou nesta quinta-feira ( 22 ) uma conta digital voltada para os microempreendedores individuais ( meis ) e pequenas empresas .	neon_pagamentos	ORG	lançou nesta quinta-feira	para os microempreendedores individuais	( meis	ORG
6	104	fernando_montanari , diretor de negócios da neon_pagamentos afirma , em nota , que tudo na conta é feito “ de forma muito intuitiva ” .	neon_pagamentos	ORG	diretor de negócios da	diretor de	fernando_montanari	PER
1	105	a trusthub , fintech do grupo srm e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o grupo_ipiranga , para antecipação de recebíveis de seus clientes corporativos .	trusthub	ORG	fintech do grupo	fintech do	srm	ORG
1	106	a trusthub , fintech do grupo srm e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o grupo_ipiranga , para antecipação de recebíveis de seus clientes corporativos .	trusthub	ORG	fechou acordo com	fechou acordo com	grupo_ipiranga	ORG
6	107	a trusthub , fintech do grupo srm e que também tem uma gestora especializada em fundos de recebíveis , fechou acordo com o grupo_ipiranga , para antecipação de recebíveis de seus clientes corporativos .	srm	ORG	none	fintech do fechou acordo com	grupo_ipiranga	ORG
1	108	a trusthub está perto de fechar a contratação do parcele mais com outras três grandes empresas que possuem marketplace para negócios b2b ( buine s to business ) , uma delas líder do setor farmacêutico de são_paulo e uma multinacional de produtos de limpeza .	trusthub	ORG	none	marketplace	b2b	ORG
